[2026-02-20 01:29:13.076030800 -05:00] Public subs not fully confirmed after 5 polls (ohlc: true, ticker: false)
[2026-02-20 03:26:20.110915300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=291372188.96682
[2026-02-20 03:26:22.629735800 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=389427426.75077
[2026-02-20 03:27:13.416682 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=2058211.98995
[2026-02-20 03:27:16.002732800 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=100113449.7739
[2026-02-20 03:27:22.190402200 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=102118943.06818
[2026-02-20 03:27:22.315026500 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=104047096.14458
[2026-02-20 03:27:22.429344 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=106021708.91649
[2026-02-20 03:27:27.299226200 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=108078840.61621
[2026-02-20 03:27:27.412557100 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=110115709.14961
[2026-02-20 03:27:27.680510100 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=112115694.67868
[2026-02-20 03:27:27.790075500 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=114030216.06342
[2026-02-20 03:27:28.106285800 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=116078022.38897
[2026-02-20 03:27:28.215023400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=117988467.26803
[2026-02-20 03:27:28.326603200 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=119937105.58986
[2026-02-20 03:27:28.654593400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=121902802.74695
[2026-02-20 03:27:29.370558400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=123881117.85963
[2026-02-20 03:27:30.525687300 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=125872955.85834
[2026-02-20 03:27:30.712333 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=127875869.15987
[2026-02-20 03:27:31.041583700 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=129794428.86168
[2026-02-20 03:27:31.753711800 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=131808925.19388
[2026-02-20 03:27:32.083349400 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=133732257.49296
[2026-02-20 03:27:35.548817800 -05:00] Invalid OHLC for SHIBUSD: open=0, high=0, low=0, close=0, vol=135644927.44013
